,Time To Goal,MSE,Model,Trial
14822,0.1,0.1703740656375885,MP-S1,741
14823,0.15,0.06759945303201675,MP-S1,741
14824,0.2,0.17418362200260162,MP-S1,741
14825,0.25,0.33175128698349,MP-S1,741
14826,0.3,0.5083281993865967,MP-S1,741
14827,0.35,0.6232271194458008,MP-S1,741
14828,0.4,0.6568613052368164,MP-S1,741
14829,0.45,0.7256999611854553,MP-S1,741
14830,0.5,0.8410488367080688,MP-S1,741
14831,0.55,0.8252379894256592,MP-S1,741
14832,0.6,0.8352334499359131,MP-S1,741
14833,0.65,0.8421607613563538,MP-S1,741
14834,0.7,0.839274525642395,MP-S1,741
14835,0.75,0.5238034725189209,MP-S1,741
14836,0.8,0.47133031487464905,MP-S1,741
14837,0.85,0.2784914970397949,MP-S1,741
14838,0.9,0.31064602732658386,MP-S1,741
14839,1.0,0.31130582094192505,MP-S1,741
14840,0.0,0.9771251678466797,MP-S1,742
14841,0.05,0.9771251678466797,MP-S1,742
14842,0.1,1.0996651649475098,MP-S1,742
14843,0.15,1.1962823867797852,MP-S1,742
14844,0.2,1.1962823867797852,MP-S1,742
14845,0.25,1.2907052040100098,MP-S1,742
14846,0.3,1.3933032751083374,MP-S1,742
14847,0.35,1.3933032751083374,MP-S1,742
14848,0.4,1.5083659887313843,MP-S1,742
14849,0.45,1.6249103546142578,MP-S1,742
14850,0.5,1.7388948202133179,MP-S1,742
14851,0.55,1.8754323720932007,MP-S1,742
14852,0.6,0.09782306849956512,MP-S1,742
14853,0.65,0.12931853532791138,MP-S1,742
14854,0.7,0.1649378091096878,MP-S1,742
14855,0.75,0.09856504946947098,MP-S1,742
14856,0.8,0.09811431914567947,MP-S1,742
14857,0.85,0.136924609541893,MP-S1,742
14858,0.9,0.21050554513931274,MP-S1,742
14859,1.0,0.29434317350387573,MP-S1,742
14860,0.0,2.290699005126953,MP-S1,743
14861,0.05,2.290699005126953,MP-S1,743
14862,0.1,2.211451768875122,MP-S1,743
14863,0.15,2.2085492610931396,MP-S1,743
14864,0.2,2.200615644454956,MP-S1,743
14865,0.25,2.2330241203308105,MP-S1,743
14866,0.3,1.692299485206604,MP-S1,743
14867,0.35,1.5497885942459106,MP-S1,743
14868,0.4,1.587446689605713,MP-S1,743
14869,0.45,1.6581460237503052,MP-S1,743
14870,0.5,1.3395801782608032,MP-S1,743
14871,0.55,1.0285859107971191,MP-S1,743
14872,0.6,1.3288503885269165,MP-S1,743
14873,0.65,1.031964898109436,MP-S1,743
14874,0.7,0.9471288919448853,MP-S1,743
14875,0.75,0.8082913160324097,MP-S1,743
14876,0.8,1.5904207229614258,MP-S1,743
14877,0.85,1.154097080230713,MP-S1,743
14878,0.9,1.0649462938308716,MP-S1,743
14879,1.0,2.1051437854766846,MP-S1,743
14880,0.0,0.645818293094635,MP-S1,744
14881,0.05,0.7717309594154358,MP-S1,744
14882,0.1,0.9841018915176392,MP-S1,744
14883,0.15,1.2320400476455688,MP-S1,744
14884,0.2,1.016523838043213,MP-S1,744
14885,0.25,1.540834665298462,MP-S1,744
14886,0.3,1.6094388961791992,MP-S1,744
14887,0.35,1.7351073026657104,MP-S1,744
14888,0.4,1.9003245830535889,MP-S1,744
14889,0.45,2.2684779167175293,MP-S1,744
14890,0.5,2.465099573135376,MP-S1,744
14891,0.55,1.999282956123352,MP-S1,744
14892,0.6,2.3582677841186523,MP-S1,744
14893,0.65,1.6361294984817505,MP-S1,744
14894,0.7,1.7353428602218628,MP-S1,744
14895,0.75,1.9223378896713257,MP-S1,744
14896,0.8,2.011289358139038,MP-S1,744
14897,0.85,0.3239745497703552,MP-S1,744
14898,0.9,0.07980413734912872,MP-S1,744
14899,1.0,0.07996691763401031,MP-S1,744
14900,0.0,0.09501532465219498,MP-S1,745
14901,0.05,0.12753042578697205,MP-S1,745
14902,0.1,0.23938962817192078,MP-S1,745
14903,0.15,0.47411680221557617,MP-S1,745
14904,0.2,0.6452874541282654,MP-S1,745
14905,0.25,0.8623833656311035,MP-S1,745
14906,0.3,1.0111892223358154,MP-S1,745
14907,0.35,1.1859349012374878,MP-S1,745
14908,0.4,1.4300668239593506,MP-S1,745
14909,0.45,1.6392606496810913,MP-S1,745
14910,0.5,1.931067705154419,MP-S1,745
14911,0.55,2.3518195152282715,MP-S1,745
14912,0.6,1.1459208726882935,MP-S1,745
14913,0.65,0.9041883945465088,MP-S1,745
14914,0.7,0.5072833299636841,MP-S1,745
14915,0.75,0.2831380069255829,MP-S1,745
14916,0.8,0.26554542779922485,MP-S1,745
14917,0.85,0.2665700614452362,MP-S1,745
14918,0.9,0.2912959158420563,MP-S1,745
14919,1.0,0.31683409214019775,MP-S1,745
14920,0.0,0.2252500355243683,MP-S1,746
14921,0.05,0.29706668853759766,MP-S1,746
14922,0.1,0.4190780222415924,MP-S1,746
14923,0.15,0.5163640379905701,MP-S1,746
14924,0.2,0.5694828629493713,MP-S1,746
14925,0.25,0.69309002161026,MP-S1,746
